Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.34,-.13,-.01,-.80,-.43,-.26,-.16,-.10,-.02,.05,.65
1881,-.07,-.16,.01,-.32,.10,-.06,-.91,-.41,-.18,.09,.11,-.04,-.07,.57
1882,-.10,-.20,.00,-.29,-.05,.02,-1.41,-.24,-.12,-.05,-.04,.03,.04,.60
1883,-.16,-.26,-.06,-.31,-.16,.00,-.19,-.53,-.22,-.18,-.15,-.02,.07,.48
1884,-.27,-.41,-.14,-.58,-.15,-.13,-1.30,-.61,-.44,-.13,-.16,-.18,-.02,.63
1885,-.33,-.43,-.24,-.64,-.13,-.27,-1.51,-.66,-.44,-.07,-.20,-.33,-.15,.80
1886,-.31,-.42,-.20,-.55,-.19,-.21,-1.59,-.47,-.39,-.21,-.18,-.19,-.20,.57
1887,-.35,-.42,-.28,-.51,-.30,-.28,-1.76,-.48,-.27,-.29,-.30,-.27,-.26,.30
1888,-.17,-.23,-.12,-.40,.09,-.28,-1.30,-.41,-.23,.06,.13,-.30,-.22,.14
1889,-.10,-.17,-.04,-.28,.08,-.16,-.68,-.20,-.26,.01,.14,-.15,-.15,.43
1890,-.35,-.38,-.32,-.44,-.37,-.22,-1.13,-.53,-.26,-.27,-.47,-.17,-.27,.13
1891,-.22,-.25,-.19,-.41,-.08,-.21,-1.12,-.32,-.35,.00,-.16,-.17,-.23,-.18
1892,-.27,-.39,-.15,-.42,-.30,-.07,-1.14,-.64,-.16,-.34,-.26,.03,-.21,.07
1893,-.31,-.47,-.15,-.50,-.36,-.04,-.69,-.54,-.46,-.42,-.30,.08,-.20,-.06
1894,-.30,-.38,-.21,-.32,-.33,-.23,-.95,-.32,-.17,-.49,-.18,-.14,-.34,-.40
1895,-.22,-.30,-.14,-.39,-.07,-.25,-.66,-.51,-.26,-.15,.01,-.19,-.31,-.60
1896,-.11,-.19,-.02,-.34,.10,-.14,-.86,-.36,-.21,.05,.15,-.14,-.13,.23
1897,-.10,-.16,-.05,-.34,.17,-.23,-.56,-.46,-.23,.13,.21,-.18,-.27,.38
1898,-.26,-.27,-.26,-.33,-.22,-.26,-1.13,-.20,-.22,-.19,-.26,-.27,-.20,.36
1899,-.17,-.21,-.13,-.23,-.12,-.18,-1.06,-.08,-.14,-.16,-.08,-.14,-.21,.56
1900,-.08,-.08,-.06,-.19,.17,-.29,-.55,-.12,-.15,.08,.25,-.28,-.29,.25
1901,-.15,-.12,-.18,-.16,-.04,-.30,-.41,-.10,-.14,-.07,-.01,-.27,-.33,.24
1902,-.27,-.32,-.22,-.51,-.04,-.34,-1.33,-.49,-.32,-.02,-.05,-.27,-.42,-.07
1903,-.36,-.37,-.36,-.45,-.29,-.38,-.21,-.41,-.55,-.24,-.33,-.34,-.40,-.48
1904,-.46,-.48,-.45,-.50,-.46,-.43,-.16,-.59,-.54,-.44,-.49,-.36,-.48,-1.30
1905,-.26,-.29,-.22,-.40,-.09,-.35,-.08,-.22,-.61,-.12,-.05,-.32,-.36,-.32
1906,-.22,-.24,-.20,-.25,-.20,-.22,-.29,-.06,-.38,-.22,-.17,-.19,-.22,-.70
1907,-.38,-.47,-.29,-.58,-.31,-.29,-.60,-.72,-.51,-.31,-.30,-.20,-.36,-1.18
